{'lat': Decimal('52.2287092'), 'lng': Decimal('21.0028989')}|Biedronka|ChIJNRrVjpHMHkcRJQi1T1VJNUk|['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']|al. Jerozolimskie 54, Warszawa|3.8|al. Jerozolimskie 54, 00-024 Warszawa, Poland|800 080 010|+48 800 080 010|http://biedronka.pl/|https://maps.google.com/?cid=5275203169292716069
{'lat': Decimal('52.2369028'), 'lng': Decimal('21.0181895')}|Biedronka|ChIJG8aze1_MHkcRMAhuX2dG8WY|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Nowy Świat 68, Warszawa|3.8|Nowy Świat 68, 00-357 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=7417787471052539952
{'lat': Decimal('52.2272731'), 'lng': Decimal('20.9975798')}|Biedronka|ChIJU4BL-Y3NHkcRy8K0wCWtI6E|['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']|al. Jerozolimskie 56C, Warszawa|4.3|al. Jerozolimskie 56C, 00-401 Warszawa, Poland|||http://www.biedronka.pl/|https://maps.google.com/?cid=11611314641949737675
{'lat': Decimal('52.2367344'), 'lng': Decimal('21.0214602')}|Biedronka|ChIJM0qNTl_MHkcRvT_GNBCZnYE|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Tamka 40, Warszawa|3.8|Tamka 40, 00-355 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=9339789497120210877
{'lat': Decimal('52.23215889999999'), 'lng': Decimal('21.0118932')}|Biedronka|ChIJKxmlafTMHkcR_PkBM6iDxQc|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Chmielna 36, Warszawa|3.8|Chmielna 36, 00-020 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=559998487111006716
{'lat': Decimal('52.1562372'), 'lng': Decimal('21.0209958')}|Biedronka|ChIJP6N6Po0yGUcRC14yPZms2Ko|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Eugeniusza Romera 10, Warszawa|3.9|Eugeniusza Romera 10, 02-785 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=12310779355573935627
{'lat': Decimal('52.2111424'), 'lng': Decimal('20.9663922')}|Biedronka|ChIJMytRyqjMHkcRBAfd9PAX9M4|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Dobosza 12, Warszawa|3.5|Dobosza 12, 02-376 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=14912570589798270724
{'lat': Decimal('52.251448'), 'lng': Decimal('21.003107')}|Biedronka|ChIJvZBRYHDMHkcRYmv0unq-eoU|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Bonifraterska 6, Warszawa|3.4|Bonifraterska 6, 00-213 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=9618209388534983522
{'lat': Decimal('52.2367089'), 'lng': Decimal('20.9591001')}|Biedronka|ChIJAw7aAnDLHkcRMJ7LfzPQtos|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Sokołowska 11, Warszawa|3.9|Sokołowska 11, 01-142 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=10067462936639282736
{'lat': Decimal('52.2373996'), 'lng': Decimal('20.9998163')}|Biedronka|ChIJ_5GtRYjMHkcRZ2AReH2lFh4|['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']|Grzybowska 12/14, Warszawa|3.6|Grzybowska 12/14, 00-131 Warszawa, Poland|800 080 010|+48 800 080 010|http://www.biedronka.pl/|https://maps.google.com/?cid=2168102228929372263
