{'lat': Decimal('50.25243529999999'), 'lng': Decimal('19.0488317')}|Stacja Paliw ORLEN|ChIJqfh9VrvPFkcRAOvVrw2al4E|['gas_station', 'point_of_interest', 'establishment']|Murckowska 5, Katowice|4.2|Murckowska 5, 40-266 Katowice, Poland|24 256 00 12|+48 24 256 00 12|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=9338101735951297280
{'lat': Decimal('50.21494999999999'), 'lng': Decimal('18.9794786')}|Lukoil|ChIJuboOYMbOFkcR3Sc_fVGt76s|['gas_station', 'point_of_interest', 'establishment']|Kościuszki 330, Katowice|4.2|Kościuszki 330, 40-608 Katowice, Poland|32 721 28 73|+48 32 721 28 73|http://www.lukoil.pl/|https://maps.google.com/?cid=12389311665424771037
{'lat': Decimal('50.1981063'), 'lng': Decimal('19.0526386')}|LOTOS - Stacja paliw|ChIJMVXKzFbPFkcROF8lEQm2tPQ|['gas_station', 'point_of_interest', 'establishment']|Kołodzieja 10, Katowice|4.2|Kołodzieja 10, 40-001 Katowice, Poland|519 075 713|+48 519 075 713|http://www.lotos.pl/25/dla_kierowcy/stacje_lotos|https://maps.google.com/?cid=17632918591120957240
{'lat': Decimal('50.2593507'), 'lng': Decimal('18.9849389')}|Petrol Station ORLEN|ChIJB00tKnLOFkcRqB7BTzSuHSA|['gas_station', 'point_of_interest', 'establishment']|Bocheńskiego 99, Katowice|4.2|Bocheńskiego 99, 40-847 Katowice, Poland|32 355 54 60|+48 32 355 54 60|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=2314197323237891752
{'lat': Decimal('50.245121'), 'lng': Decimal('19.0303288')}|BP|ChIJfaWeda3PFkcR3eBYT9NvUaQ|['gas_station', 'atm', 'convenience_store', 'car_wash', 'finance', 'store', 'point_of_interest', 'food', 'establishment']|Górnośląska 40, Katowice|4|Górnośląska 40, 40-511 Katowice, Poland|32 205 46 29|+48 32 205 46 29|https://www.bp.com/pl_pl/on-the-road/poland.html|https://maps.google.com/?cid=11840367848693752029
{'lat': Decimal('50.210083'), 'lng': Decimal('18.9660969')}|LOTOS - Stacja paliw|ChIJ3YrbibbOFkcR7InyLKSa9zk|['gas_station', 'point_of_interest', 'establishment']|Kościuszki 259, Katowice|4.4|Kościuszki 259, 40-608 Katowice, Poland|32 205 94 94|+48 32 205 94 94|http://www.lotos.pl/|https://maps.google.com/?cid=4176977209328830956
{'lat': Decimal('50.29128980000001'), 'lng': Decimal('19.0064519')}|Lukoil|ChIJuRBuVPrRFkcRZQik61ehe5o|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Bytkowska 105, Katowice|4.2|Bytkowska 105, 40-148 Katowice, Poland|32 721 28 61|+48 32 721 28 61|http://www.lukoil.pl/|https://maps.google.com/?cid=11131668302963935333
{'lat': Decimal('50.29243870000001'), 'lng': Decimal('18.9588942')}|Lukoil|ChIJn2ChpXXSFkcRRZLY0FZ0F64|['gas_station', 'point_of_interest', 'establishment']|Ul. Katowicka 28, Chorzów|4|Ul. Katowicka 28, 41-501 Chorzów, Poland|32 721 28 85|+48 32 721 28 85|http://www.lukoil.pl/|https://maps.google.com/?cid=12544623203283669573
{'lat': Decimal('50.23167420000001'), 'lng': Decimal('19.1428639')}|Petrol Station ORLEN|ChIJe1NE7h3FFkcRq0dwirgRIuE|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Oświęcimska 41, Mysłowice|4.3|Oświęcimska 41, 41-400 Mysłowice, Poland|24 256 40 80|+48 24 256 40 80|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=16222548292036216747
{'lat': Decimal('50.26735350000001'), 'lng': Decimal('18.972753')}|Gas station Moya|ChIJkdV5l-DNFkcRZ4QJAVmRxF8|['gas_station', 'point_of_interest', 'establishment']|Obroki 52, Katowice|4.1|Obroki 52, 40-833 Katowice, Poland|693 002 118|+48 693 002 118|http://moyastacja.pl/stacja/200.html|https://maps.google.com/?cid=6900800340493960295
{'lat': Decimal('50.243842'), 'lng': Decimal('19.023894')}|LOTOS - Stacja paliw|ChIJLbYCPVPOFkcRUJAzpT4gicw|['gas_station', 'point_of_interest', 'establishment']|Francuska 40, Katowice|4.2|Francuska 40, 40-001 Katowice, Poland|32 205 09 42|+48 32 205 09 42|https://www.lotos.pl/858/p,25,s,51/dla_kierowcy/stacje_lotos/stacja_paliw_lotos_sf264_katowice|https://maps.google.com/?cid=14738346708978339920
{'lat': Decimal('50.2258128'), 'lng': Decimal('19.0698211')}|BP|ChIJHyGo1n7PFkcRctaoLiTXG0M|['gas_station', 'convenience_store', 'cafe', 'car_wash', 'store', 'point_of_interest', 'food', 'establishment']|Mysłowicka 82, Katowice|4.4|Mysłowicka 82, 40-453 Katowice, Poland|32 256 73 89|+48 32 256 73 89|https://www.bp.com/pl_pl/on-the-road/poland.html|https://maps.google.com/?cid=4835695175313970802
{'lat': Decimal('50.2741869'), 'lng': Decimal('19.1266476')}|BP|ChIJJe5KcQ3QFkcRf20ADoOv4NE|['gas_station', 'convenience_store', 'cafe', 'car_wash', 'store', 'point_of_interest', 'food', 'establishment']|Teatralna, Henryka Sienkiewicza, Sosnowiec|4.2|Teatralna, Henryka Sienkiewicza, 41-200 Sosnowiec, Poland|32 297 95 92|+48 32 297 95 92|https://www.bp.com/pl_pl/on-the-road/poland.html|https://maps.google.com/?cid=15123280526120611199
{'lat': Decimal('50.31895410000001'), 'lng': Decimal('18.9453763')}|Petrol Station ORLEN|ChIJAYDnJfTSFkcROT259R019Bo|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Chorzowska 90, Bytom|4.4|Chorzowska 90, 41-910 Bytom, Poland|24 256 02 82|+48 24 256 02 82|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=1942235742096407865
{'lat': Decimal('50.2827281'), 'lng': Decimal('18.9591777')}|Lotos|ChIJHaVgF_PNFkcRx3ntB6FnlVM|['gas_station', 'point_of_interest', 'establishment']|ks. Jana Gałeczki 46, Chorzów|4.3|ks. Jana Gałeczki 46, 41-506 Chorzów, Poland|519 075 739|+48 519 075 739|http://www.lotospaliwa.pl/|https://maps.google.com/?cid=6022834017998305735
{'lat': Decimal('50.29156'), 'lng': Decimal('19.133551')}|BP|ChIJsb2eR5vaFkcR0csW7JHTMik|['gas_station', 'convenience_store', 'car_wash', 'store', 'point_of_interest', 'food', 'establishment']|Będzińska 23, Sosnowiec|4|Będzińska 23, 41-200 Sosnowiec, Poland|32 290 45 41|+48 32 290 45 41|http://www.bp.com/|https://maps.google.com/?cid=2968667728075213777
{'lat': Decimal('50.2486813'), 'lng': Decimal('19.1170934')}|Petrol Station ORLEN|ChIJBw3DoUbFFkcRTtw-15G3LtM|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Katowicka 77, Mysłowice|4.2|Katowicka 77, 41-412 Mysłowice, Poland|24 256 20 87|+48 24 256 20 87|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=15217302027940846670
{'lat': Decimal('50.2000568'), 'lng': Decimal('19.1470377')}|Stivjan Sp. o.o.|ChIJ3_mLMEDEFkcRBRx5_uLF45s|['gas_station', 'point_of_interest', 'establishment']|Fabryczna 15, Mysłowice|4.3|Fabryczna 15, 41-404 Mysłowice, Poland|32 223 72 66|+48 32 223 72 66||https://maps.google.com/?cid=11233039474314779653
{'lat': Decimal('50.2486263'), 'lng': Decimal('19.0266798')}|BP|ChIJmRzis1LOFkcRDdlabvYlVK4|['gas_station', 'convenience_store', 'cafe', 'car_wash', 'store', 'point_of_interest', 'food', 'establishment']|Francuska 40, Katowice|4.2|Francuska 40, 40-507 Katowice, Poland|32 209 07 21|+48 32 209 07 21|https://www.bp.com/pl_pl/on-the-road/poland.html|https://maps.google.com/?cid=12561707000986786061
{'lat': Decimal('50.2606094'), 'lng': Decimal('18.9864761')}|Petrol Station ORLEN|ChIJtSgvRnLOFkcRrmZNr0Ot3-E|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Bocheńskiego 64, Katowice|4.5|Bocheńskiego 64, 40-859 Katowice, Poland|24 256 40 22|+48 24 256 40 22|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=16275918084555761326
{'lat': Decimal('50.2583739'), 'lng': Decimal('18.9337773')}|LOTOS Optima. Stacja paliw.|ChIJ68U-6bbNFkcRGU6dEiLXNV8|['gas_station', 'point_of_interest', 'establishment']|Radoszowska 4, Ruda Śląska|4.2|Radoszowska 4, 41-506 Ruda Śląska, Poland|519 075 788|+48 519 075 788|https://www.lotos.pl/858/p,25,s,515/dla_kierowcy/stacje_lotos/stacja_paliw_lotos_optima_sf721_ruda_slaska|https://maps.google.com/?cid=6860626148709977625
{'lat': Decimal('50.306703'), 'lng': Decimal('18.950736')}|Circle K|ChIJqZF4DmTSFkcRXc3a6QB0Oy4|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Ul. Katowicka 114, Chorzów|4.3|Ul. Katowicka 114, 41-500 Chorzów, Poland|32 348 11 96|+48 32 348 11 96|http://www.circlek.pl/|https://maps.google.com/?cid=3331383896642866525
{'lat': Decimal('50.2545361'), 'lng': Decimal('19.0471481')}|Petrol Station ORLEN|ChIJNTJPHsjPFkcRjp9XUPxuWOk|['gas_station', 'car_wash', 'point_of_interest', 'establishment']|Murckowska 22, Katowice|4.4|Murckowska 22, 40-001 Katowice, Poland|24 256 04 28|+48 24 256 04 28|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=16814311238746480526
{'lat': Decimal('50.2524649'), 'lng': Decimal('18.8833774')}|Shell|ChIJgwpgFFLMFkcRfYdiOKg0xaM|['gas_station', 'convenience_store', 'cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']|aleja Piastów Śląskich 10, Ruda Śląska|4|aleja Piastów Śląskich 10, 41-710 Ruda Śląska, Poland|571 303 749|+48 571 303 749|https://find.shell.com/pl/fuel/10055391-3068-wirek-ruda-s|https://maps.google.com/?cid=11800896295699384189
{'lat': Decimal('50.2295652'), 'lng': Decimal('19.1646382')}|Lotos|ChIJFbSX-efEFkcRxWo3lazC35w|['gas_station', 'point_of_interest', 'establishment']|Orląt Lwowskich 134, Sosnowiec|4|Orląt Lwowskich 134, 41-208 Sosnowiec, Poland|519 075 719|+48 519 075 719|http://www.lotos.pl/|https://maps.google.com/?cid=11303967636216834757
{'lat': Decimal('50.2471105'), 'lng': Decimal('19.1239648')}|Shell|ChIJWf4hwkbFFkcRsY4Nq_XCS34|['gas_station', 'point_of_interest', 'establishment']|Katowicka 45, Mysłowice|3.9|Katowicka 45, 41-400 Mysłowice, Poland|801 440 088|+48 801 440 088|https://find.shell.com/pl/fuel/12225560-7801-myslowice-katowicka|https://maps.google.com/?cid=9100581832424787633
{'lat': Decimal('50.178047'), 'lng': Decimal('18.894306')}|BP|ChIJi7wuIczLFkcREkzMZnk_jvI|['gas_station', 'atm', 'convenience_store', 'car_wash', 'finance', 'store', 'point_of_interest', 'food', 'establishment']|Cieszyńska 17, Mikołów|4.3|Cieszyńska 17, 43-190 Mikołów, Poland|32 226 45 51|+48 32 226 45 51|https://www.bp.com/pl_pl/on-the-road/poland.html|https://maps.google.com/?cid=17477976994519731218
{'lat': Decimal('50.3044666'), 'lng': Decimal('18.9200537')}|Shell|ChIJa3ViqJvSFkcR4t9t0EUTF1k|['gas_station', 'convenience_store', 'cafe', 'car_wash', 'store', 'point_of_interest', 'food', 'establishment']|3 Maja 199, Chorzów|4.3|3 Maja 199, 41-500 Chorzów, Poland|32 241 02 03|+48 32 241 02 03|https://find.shell.com/pl/fuel/10034804-3016-bytomska-chorz|https://maps.google.com/?cid=6419620984410464226
{'lat': Decimal('50.32474999999999'), 'lng': Decimal('19.1189152')}|LOTOS - Stacja paliw|ChIJ-_OiUZTQFkcRauy7BHVAdcc|['gas_station', 'point_of_interest', 'establishment']|Czeladzka 23, Będzin|4.2|Czeladzka 23, 42-500 Będzin, Poland|519 075 610|+48 519 075 610|http://www.lotos.pl/|https://maps.google.com/?cid=14372464657157581930
{'lat': Decimal('50.2509042'), 'lng': Decimal('19.0047005')}|LOTOS Optima - Stacja paliw|ChIJ7UJBNkPOFkcRF2BfOtIeV2k|['gas_station', 'point_of_interest', 'establishment']|Mikołowska 58, Katowice|4.1|Mikołowska 58, 40-063 Katowice, Poland|519 075 758|+48 519 075 758|http://www.lotos.pl/|https://maps.google.com/?cid=7590569585227554839
{'lat': Decimal('50.3060127'), 'lng': Decimal('19.1165415')}|LOTOS - Stacja paliw|ChIJSxMdr2LQFkcRx5X4pND_dP0|['gas_station', 'point_of_interest', 'establishment']|Żeromskiego 13, Będzin|4.3|Żeromskiego 13, 41-250 Będzin, Poland|519 075 650|+48 519 075 650|http://www.lotos.pl/|https://maps.google.com/?cid=18263503660480239047
{'lat': Decimal('50.316894'), 'lng': Decimal('19.070925')}|Circle K|ChIJzTTdHAHRFkcRXdLR8qVjUQQ|['gas_station', 'car_wash', 'bakery', 'store', 'point_of_interest', 'food', 'establishment']|Stanisława Staszica 7, Czeladź|4.3|Stanisława Staszica 7, 41-250 Czeladź, Poland|32 265 53 57|+48 32 265 53 57|http://www.circlek.pl/|https://maps.google.com/?cid=311139413659865693
{'lat': Decimal('50.291697'), 'lng': Decimal('19.15302')}|eMILA – Samoobsługowa stacja paliw|ChIJW4I9No3aFkcRwgqyivhGe2Q|['gas_station', 'point_of_interest', 'establishment']|ul. Staszica Stanisława 8b, Sosnowiec|5|ul. Staszica Stanisława 8b, 41-200 Sosnowiec, Poland|22 754 99 99|+48 22 754 99 99|http://www.emila.com.pl/|https://maps.google.com/?cid=7240458859220961986
{'lat': Decimal('50.2625178'), 'lng': Decimal('19.0439644')}|Petrol Station ORLEN|ChIJW-puTMzPFkcRigkL7OxiNJ4|['gas_station', 'point_of_interest', 'establishment']|Bogucicka 11, Katowice|4.3|Bogucicka 11, 40-215 Katowice, Poland|24 256 01 97|+48 24 256 01 97|http://dlakierowcow.orlen.pl/|https://maps.google.com/?cid=11399845326493518218
{'lat': Decimal('50.2973784'), 'lng': Decimal('19.042415')}|Lotos|ChIJ4WZhfMfRFkcRWheZJoVQz4I|['gas_station', 'point_of_interest', 'establishment']|Mysłowicka 1, Siemianowice Śląskie|4.6|Mysłowicka 1, 41-100 Siemianowice Śląskie, Poland|519 075 821|+48 519 075 821|http://www.lotosoptima.pl/|https://maps.google.com/?cid=9425841077918177114
{'lat': Decimal('50.329621'), 'lng': Decimal('19.0151024')}|LOTOS - Stacja paliw|ChIJuVHVotbTFkcRKUbYz5KVt4k|['gas_station', 'point_of_interest', 'establishment']|Wrocławska 13, Siemianowice Śląskie|4.4|Wrocławska 13, 41-103 Siemianowice Śląskie, Poland|519 075 685|+48 519 075 685|http://www.lotos.pl/858/p,25,s,597/dla_kierowcy/stacje_lotos/stacja_paliw_lotos_sf307_siemianowice_slaskie|https://maps.google.com/?cid=9923564761718998569
